Name,Import_Super_Red_charge,Import_fixed_charge,Export_Super_Red_charge,Export_fixed_charge
B&RLTD,3.259,568.74,0,0
BEDDIN,0,7483.96,0,0
BP_OIL,0,568.74,0,0
CHESDC,0.005,17311.24,0,0
DIGREA,7.606,34276.38,0,0
EUROTU,0,124027.21,0,0
GAT_AF,2.716,20999.35,0,0
GAT_BF,0.626,19164.24,0,0
KNGSPN,0.258,32723.85,0,0
NP_LAB,2.074,789.85,0,0
NR_3BR,0.751,33675.32,0,0
NR_AFD,0.16,19164.24,0,0
NR_ASH,0.362,19164.24,0,0
NR_BRI,0,33675.32,0,0
NR_BYF,0.689,33675.32,0,0
NR_CAN,0,8007.72,0,0
NR_CRO,0,33358.16,0,0
NR_DOR,7.666,8007.72,0,0
NR_EAS,1.413,8007.72,0,0
NR_FOK,1.773,8007.72,0,0
NR_HAS,4.33,11314.52,0,0
NR_LEA,2.201,33358.16,0,0
NR_MAI,3.242,19164.24,0,0
NR_NOR,0,33992.48,0,0
NR_QUE,0,680.82,0,0
NR_SIT,0.033,19164.24,0,0
NR_THA,2.858,8007.72,0,0
NR_TUN,1.078,19164.24,0,0
PFIZER,0,9478.07,0,0
SENTIV,0,102100.38,0,0
THAMEM,0,36603.48,0,2909.72
THAMES,0,10346.73,0,1744.35
TWHK66,3.008,7564.02,-3.141,30.5
ANMSTR,2.858,383.88,-3.775,966.53
ASHBYS,6.108,357.36,0,992.65
ASHGEN,0,440.49,0,2785.77
AYLESF,0,33041.01,0,0
BEDERF,0,690.1,0,2433.31
BESAYL,0,33073.07,-0.051,349.22
BNTLEY,9.223,356.39,0,875.64
BNTLY2,9.223,354.31,0,560.56
BOBBNG,0.032,352.38,0,950.18
BRAMBS,1.868,7722.63,-1.877,349.22
BRELLE,0.02,381.78,-0.386,728.42
BRETSH,0,370.37,0,0
BRKHST,0.775,9018.74,-0.95,4888.31
BTBRKS,4.1,396.89,0,1094.59
CAPELG,0.616,348.5,0,710.39
CLYHLL,4.272,354.23,0,659.78
CRYENG,0.002,460.93,-0.004,302.14
DARENT,0,478.19,0,2010.65
DSCPRK,0,19446.49,0,1227.85
FORDSF,1.003,359.09,0,654.92
FRWOOD,0,365.73,0,904.77
GLASSN,0,388.13,0,388.13
GROVEH,0,33139.79,0,0
GUSTON,0.903,362.94,0,1530.84
HADLOW,0.526,349.47,0,696.6
HANSTA,0,349.45,0,0
HLLMBY,0,357.14,0,766.76
HORAMS,0,360.94,0,1730.34
KENTI2,0,356,0,308.79
KENTIS,0,354.53,0,0
KM3CHP,0.014,7636.59,-0.014,2493.69
KNWLTN,0,361.32,0,1293.92
LBOURN,0.28,355.58,0,745
LCHEYI,0.044,353.57,0,770.33
LENHAM,6.742,360.58,0,1294.66
LGHTON,1.128,358.73,0,777.11
MARSHB,0,367.87,0,825.68
MLEHLL,0.003,350.15,0,314.64
MLMAYN,0,349.02,0,664.99
MVVRID,0,1363.15,0,5341.61
NEWHVN,0.606,387.28,-0.606,277.51
NEWRID,0.072,351.18,0,1419.48
OAKLND,6.918,353.41,0,634.95
OLDRSF,0.005,351.81,0,835.33
ORCHRD,0.032,352.87,0,943.28
PADWSF,0.59,352.01,0,694.06
POSHWF,0.008,353.85,0,310.94
PRIORS,0.963,351.99,0,655.61
PSHLEY,0,359.47,0,1183.56
SELLSF,0.801,351.38,0,726.75
SEVIND,0.632,349,-0.879,109.19
SHEPHM,2.178,394,0,1738.71
SHORHM,0,7649.9,0,0
SOLEES,0.079,386.08,0,1614.92
STAREN,0.972,1660.43,0,0
SYCAMR,6.163,405.94,0,2098.94
THAEAR,0,35969.11,-1.393,3245.27
THANET,0,362.23,0,1537.94
THORNE,0,367.38,0,2054.13
TONGSF,0.03,377.66,0,2335.61
WDLNDS,0,369.83,0,2664.06
WIDHFM,9.774,364.96,0,1386.46
WLBEES,0.563,350.77,0,314.02
WRGALL,0,8105.12,0,0
WSTWDX,0,360.58,0,1294.66
